Tri-Gram Phrase,Frequency Count
htc touch pro2,30
850 900 1800,25
gsm 850 900,25
windows mobile 65,24
35mm headphone jack,23
900 1800 1900,23
rated talk time,20
general product type,20
wcdma umts gsm,19
service call quality,18
cell phone accessories,18
check cell phone,17
communicator features operating,17
product type smartphone,17
features operating system,17
logitech mobile traveller,17
messaging data services,17
capacitive touch screen,17
lithium ion battery,16
motorola s9 bluetooth,16
cnet's full site,16
mobile traveller bluetooth,16
bluetooth headset motorola,16
headset motorola s9,16
addons check cell,16
battery rated talk,16
traveller bluetooth headset,16
s9 bluetooth active,16
phone accessories ringtones,16
battery drain tests,15
accessories ringtones page,15
digital camera digital,15
bluetooth active headphones,15
digital audio standards,15
digital player recorder,15
player recorder supported,15
recorder supported digital,15
smartphone digital camera,15
days standby time,15
supported digital audio,15
fcc radiation tests,15
ion battery rated,15
camera camera highlights,14
espn's mobile sites,14
text multimedia messaging,14
type lcd display,14
min standby time,14
system gps navigation,14
pictures phones sensor,14
power type power,14
type smartphone digital,14
type power adapter,14
blackberry storm 2,14
connections connector type,14
camera highlights resolution,14
phones sensor resolution,14
gps system gps,14
power adapter battery,14
pixels diagonal size,14
display type lcd,14
digital camera camera,14
camera digital player,14
adapter usb cable,13
microsd expansion slot,13
gps navigation gps,13
navigation gps receiver,13
ringtones page features,13
ac adapter usb,13
connector type 1,13
audio standards aac,13
battery technology lithium,13
technology lithium ion,13
call timer conference,12
full site loaded,12
call quality good,12
interface ieee 80211b,12
display technology tft,12
lcd display technology,12
ieee 80211b ieee,12
80211b ieee 80211g,12
technology tft display,12
tft display resolution,12
samsung omnia ii,12
megapixels focus adjustment,12
timer conference call,12
resolution 5 megapixels,12
focus adjustment automatic,12
speakerphone wireless interface,12
480 pixels diagonal,12
wireless interface ieee,12
adapter battery technology,12
ieee 80211g bluetooth,11
digital video formats,11
time battery drain,11
quadband gsm 850,11
mah talk time,11
digital sar rating,11
digital player service,11
tested quadband gsm,11
player service provider,11
lithium ion capacity,10
mp3 wav wma,10
performance tested quadband,10
bose onear headphones,10
rim blackberry storm,10
resolution 32 megapixels,10
band wcdma umts,10
messaging data features,10
rim blackberry bold,10
mobile sites loaded,10
reference material addons,10
cdma 2000 1x,10
home screen panels,10
umts gsm 850,10
htc droid eris,10
material addons check,9
smartphone logitech mobile,9
evdo rev network,9
1800 1900 phone,9
google maps navigation,9
kilogram specifications manufacturer,9
motorola cliq xt,9
hours continuous talk,9
iphone os 30,9
high speed downlink,9
cellular technology wcdma,9
personal information management,9
downlink packet access,9
umts gsm band,9
technology wcdma umts,9
hsdpa high speed,9
blackberry bold 9700,9
conference call capability,9
standards aac amr,9
1900 phone design,9
amazon mp3 store,9
gsm band wcdma,9
cnn espn's mobile,9
rim blackberry tour,9
basic display type,9
information management tools,9
continuous talk time,9
aac amr mp3,9
calculator basic display,9
speed downlink packet,9
color support color,9
seconds cnn espn's,9
playback digital video,9
contract $100 mailin,8
alarm clock calender,8
amr mp3 wav,8
internet explorer mobile,8
data services short,8
general packet radio,8
blackberry os 50,8
visual voice mail,8
1 headset jack,8
calender reminder calculator,8
previous android phones,8
specifications manufacturer htc,8
features playback digital,8
portrait landscape mode,8
design candy bar,8
organizer alarm clock,8
edge enhanced data,8
packet radio service,8
quadband world roaming,8
clock calender reminder,8
messaging service sms,8
rates global evolution,8
manufacturer htc part,8
gprs general packet,8
phone design candy,8
services short messaging,8
bluetooth 21 edr,8
reminder calculator basic,8
miniphone 35 mm,8
multimedia features playback,8
short messaging service,8
talk end keys,8
quality pictures phones,8
$100 mailin rebate,8
higher quality pictures,8
data rates global,8
enhanced data rates,8
give higher quality,8
htc part number,8
twoyear contract $100,8
provider verizon wireless,7
htc sense user,7
caller id purposes,7
microsd card slot,7
jack miniphone 35,7
camera phone give,7
camera light source,7
2gb microsd card,7
headset jack miniphone,7
megapixels camera phone,7
verizon's 3g network,7
formats h264 mpeg4,7
megapixels model give,7
h263 video amr,7
video formats h264,7
call capability voice,7
1500mah lithium ion,7
dedicated youtube app,7
watts kilogram specifications,7
capability voice recorder,7
oz cellular technology,7
service provider verizon,7
nokia 5230 nuron,7
full qwerty keyboard,7
gps receiver organizer,7
cdma 800 1900,7
video amr audio,7
80211g bluetooth 21,7
tmobile mytouch 3g,7
display resolution 320,6
sensor resolution 5,6
hearing aid compatible,6
word excel powerpoint,6
colors digital player,6
email protocols pop3,6
1900 800 phone,6
browser included services,6
give pictures phones,6
microsoft windows mobile,6
midi aac +,6
network cnet's full,6
verizon's evdo rev,6
cellular technology cdma,6
wav wma midi,6
1x 1900 800,6
highlights resolution 5,6
supported email protocols,6
h264 mpeg4 h263,6
$19999 twoyear contract,6
display resolution 800,6
depth 06 height,6
call quality excellent,6
oz body color,6
evdo evolutiondata optimized,6
verizon wireless width,6
talk time battery,6
+ connections connector,6
800 phone design,6
vibrating alert polyphonic,6
book limited memory,6
320 480 pixels,6
receiver organizer alarm,6
internet browser included,6
recorder speakerphone wireless,6
performance tested dualband,6
bit shutter lag,6
voice recorder speakerphone,6
internal polyphonic ringer,6
memory flash memory,6
resolution 800 480,6
email supported email,6
headsets handsfree kits,6
alert polyphonic ringer,6
1ghz snapdragon processor,6
operating system microsoft,6
800 480 pixels,6
aac + connections,6
windows media video,6
blackberry tour 9630,6
pairing smartphone logitech,6
windows media player,6
wma midi aac,6
wmv windows media,6
att's 3g network,6
background noise voice,6
phone design slider,6
mpeg4 h263 video,6
antenna internal polyphonic,6
5 megapixels focus,6
mobile email supported,6
width 24 depth,6
system microsoft windows,6
stereo bluetooth headsets,6
resolution 320 480,6
droid eris offers,6
microsoft office mobile,6
mono stereo bluetooth,6
cnn's espn's mobile,6
noise voice distortion,6
bluetooth headsets handsfree,6
headphone jack microusb,5
wide 06 inch,5
automatic camera light,5
group id custom,5
1x band cdma,5
packet access messaging,5
social networking sites,5
mailin rebate design,5
seconds cnn's espn's,5
bluetooth 20 onboard,5
type 1 headset,5
cut copy paste,5
highlights resolution 32,5
gps receiver display,5
att service call,5
operating system google,5
sensor resolution 32,5
technology cdma 2000,5
dial smart dialing,5
contact management system,5
standby time battery,5
evolution internet browser,5
polyphonic ringer call,5
id speakerphone wireless,5
recorder caller id,5
phone navigation buttons,5
wifi bluetooth gps,5
flash lite support,5
included usb cable,5
pad voice recorder,5
edr additional features,5
32 megapixels camera,5
instant messaging clients,5
slot provided 1,5
5 megapixels model,5
media video digital,5
expansion slot accept,5
service edge enhanced,5
features 1500mah lithium,5
jack microusb port,5
smart dialing voice,5
inches wide 06,5
adjustment automatic camera,5
standard personal information,5
navigation buttons trackball,5
windows live yahoo,5
services mobile email,5
pop3 imap accounts,5
protocols pop3 imap4,5
rated battery life,5
talk time single,5
conference calling speed,5
touchflo 3d interface,5
access messaging data,5
system google android,5
professional messaging data,5
support color color,5
dialing voice commands,5
band cdma 2000,5
2000 1x band,5
resolution 3 megapixels,5
windows mobile 61,5
shortcut back button,5
2000 1x 1900,5
builtin media player,5
tested dualband cdma,5
google voice search,5
data services mobile,5
model give higher,5
volume rocker left,5
wired stereo headset,5
voice recorder calculator,5
color color depth,5
experience dropped calls,5
dualband cdma 800,5
miscellaneous hearing aid,5
speed dial smart,5
receiver display type,5
tmobile's 3g network,5
global evolution internet,5
numbers email addresses,5
email multimedia message,5
usb mass storage,5
ringer call timer,5
caller id speakerphone,5
time single charge,5
32 megapixels focus,5
problems pairing smartphone,5
radio service edge,5
mobile 61 professional,5
email calendar contacts,5
calling speed dial,5
video digital camera,5
microsoft's direct push,4
3g talk time,4
photo group id,4
including talk end,4
wireless interface bluetooth,4
iphone 3gs iphone,4
cable 2gb microsd,4
memory internal shared,4
songs amazon mp3,4
synchronization outlook calendar,4
trackball call timer,4
contacts exchange server,4
geotag photos add,4
voice dialing voice,4
plugged bose onear,4
amoled touch screen,4
2g talk time,4
provider tmobile width,4
playlist creation shuffle,4
accelerometer proximity sensor,4
seconds buffer played,4
cables included usb,4
phone features include,4
camera flash located,4
files mpeg4 wmv,4
233 inches wide,4
tall 233 inches,4
source led light,4
media player supports,4
inches tall 233,4
friends reported good,4
address book limited,4
aid compatibility rating,4
google android device,4
sense user interface,4
charger usb cable,4
cable stereo headset,4
office mobile suite,4
resistive touch screen,4
video recorder resolutions,4
room entry multiple,4
mobile world congress,4
airline's voice automated,4
miscellaneous included accessories,4
packaged ac adapter,4
push technology realtime,4
nice balance treble,4
depth 05 height,4
web pages photos,4
ambient light sensor,4
80211g bluetooth 20,4
buttons trackball call,4
san francisco verizon,4
21 edr additional,4
3g network provided,4
memo pad voice,4
world roaming speakerphone,4
phone backup service,4
creation shuffle repeat,4
apps microsd card,4
features text messages,4
side volume rocker,4
hearing aid compatibility,4
usb cable power,4
email delivery automatic,4
flash located back,4
android operating system,4
06 inch thick,4
browser hsdpa high,4
internal shared memory,4
pin htc extusb,4
standard android keyboard,4
phone give pictures,4
email gprs general,4
automatic synchronization outlook,4
phone book limited,4
light source led,4
manufacturer motorola part,4
5megapixel camera takes,4
cable power type,4
features video recording,4
video recording gps,4
wireless width 24,4
ringtone bluetooth 20,4
standards aac mp3,4
custom ringtone bluetooth,4
outlook calendar tasks,4
usb cable 2gb,4
mobile email gprs,4
polyphonic ringer phone,4
cd reference material,4
35 mm miscellaneous,4
motorola part number,4
candy bar antenna,4
speakerphone speed dial,4
verizon service call,4
mobile operating system,4
save apps microsd,4
golden gate bridge,4
tmobile service call,4
bar antenna internal,4
11 pin htc,4
specifications manufacturer motorola,4
imap4 gprs general,4
services android market,4
hours talk time,4
threaded chat view,4
technology realtime email,4
direct push technology,4
ringer phone navigation,4
dialing conference calling,4
delivery automatic synchronization,4
htc's touchflo 3d,4
id custom ringtone,4
software cd reference,4
service provider tmobile,4
view flash content,4
realtime email delivery,4
internet browser hsdpa,4
outlook web access,4
voice recorder caller,4
rocker left side,4
tasks contacts exchange,4
calendar tasks contacts,4
menu shortcut back,4
equipped 528mhz qualcomm,4
width 23 depth,4
htc hero features,4
balance treble bass,4
builtin accelerometer proximity,4
user interface enhancements,4
world congress 2010,4
data features text,4
dialing voice command,4
hours video playback,4
updated operating system,4
recording gps system,4
inch thick weighs,4
camera activation capture,4
mpeg4 wmv h264,3
service sms mobile,3
microsoft exchange ibm,3
voiceactivated dialing smart,3
dropped calls testing,3
opening microsoft word,3
talk time 360,3
flash features video,3
playback sounded rich,3
accept 16gb cards,3
realtime voiceguided directions,3
excellent call quality,3
american 3g bands,3
omnia ii features,3
attachment viewer smartphone,3
music playback sounded,3
videos seconds buffer,3
transfer personal area,3
wmv h264 video,3
camera located back,3
sites loaded 7,3
standard windows media,3
function playlist creation,3
voice automated response,3
weight 63 oz,3
1500 mah talk,3
store store browse,3
twitter app peep,3
sensor digital player,3
android 15 messaging,3
microsd card wired,3
aac aac+ eaac+,3
located battery door,3
htc's straight talk,3
expansion slot located,3
touch screen resistive,3
motorola droid nexus,3
htc droid incredible,3
improved internet explorer,3
ibm lotus domino,3
5800 navigation edition,3
65000 colors digital,3
call prevent accidental,3
offers quadband world,3
windows media audio,3
droid incredible offers,3
email internet browser,3
activation capture button,3
storm 2 supports,3
touch screen responsive,3
zoom bar display,3
watts kilogram hearing,3
support microsoft exchange,3
audio wmv windows,3
microsoft word support,3
source flash features,3
facebook myspace flickr,3
include quadband world,3
wav midi windows,3
microsoft's phone backup,3
depth 07 height,3
sim card microsd,3
mobile 65 box,3
powerpoint corel wordperfect,3
command communicator features,3
brightness backlighting time,3
aac mp3 wav,3
automated calling systems,3
20 days standby,3
viewer opening microsoft,3
cnet's san francisco,3
occasionally sluggish bottom,3
organize contacts groups,3
shared memory flash,3
diagonal size 31,3
color black cellular,3
diagonal size 32,3
compatibility rating m3,3
shutter lag pull,3
digital camera service,3
windows phone 7,3
supports mp3 aac,3
corel wordperfect pdf,3
diagonal size 36,3
fullscreen mode video,3
1400mah lithium ion,3
straight talk technology,3
applications web browser,3
features ambient light,3
left side volume,3
microsd expansion slots,3
aac amrnb wav,3
documents standard edition,3
rom 288mb ram,3
167 million colors,3
network provided reliable,3
updates facebook twitter,3
calls testing period,3
qualcomm msm7201a processor,3
light source flash,3
browser evdo evolutiondata,3
press menu button,3
1 data port,3
os 30 update,3
1 power type,3
open screen project,3
bluetooth voice dialing,3
eaac+ files mpeg4,3
candy bar vibrating,3
dataviz documents standard,3
entry multiple numbers,3
61 professional messaging,3
h264 video clips,3
played back beautifully,3
calculator alarm clock,3
corporate email real,3
wav wma aac,3
24 depth 06,3
dialing smart dialing,3
download free paid,3
airline's voiceautomated response,3
usb cable stereo,3
controls including talk,3
francisco verizon wireless,3
service costs additional,3
email addresses im,3
edr communicator features,3
personal area networking,3
open multiple windows,3
phone book access,3
color depth 16bit,3
card reference material,3
size 32 color,3
download songs amazon,3
player supports mp3,3
service sms messaging,3
syncing software manage,3
adobe reader le,3
sync company's blackberry,3
performance tested dualmode,3
backup service improved,3
speakerphone voiceactivated dialing,3
handsfree kits object,3
email accounts attachment,3
store browse album,3
standard edition edit,3
blackberry internet service,3
browse album song,3
lithium ion talk,3
create documents upgrade,3
g1 tmobile mytouch,3
card microsd expansion,3
access 10 personal,3
phone give higher,3
body color black,3
documents upgrade premium,3
port power connector,3
class 12 edge,3
amrnb wav midi,3
features touch screen,3
tmobile g1 tmobile,3
63 oz cellular,3
facebook twitter flickr,3
includes shuffle repeat,3
360 min standby,3
bar vibrating alert,3
type 1 data,3
dual led flash,3
light sensor digital,3
touch pro2 offers,3
touch screen displays,3
offers worldroaming capabilities,3
imap4 email accounts,3
16gb microsd card,3
landscape mode rotate,3
mp3 store store,3
global evolution class,3
capacity 1500 mah,3
ability create documents,3
ships windows mobile,3
seconds 6 seconds,3
