Uni-Gram Phrase,Frequency Count
phone,270
screen,221
features,212
android,199
htc,193
camera,170
smartphone,170
display,166
mobile,165
touch,164
time,160
voice,146
video,143
3g,140
quality,137
iphone,132
email,130
droid,129
digital,119
offers,115
call,114
blackberry,114
support,112
google,112
browser,112
bluetooth,109
interface,107
gps,101
battery,101
device,100
keyboard,99
talk,98
design,98
bit,94
app,93
music,90
audio,88
player,87
windows,86
seconds,85
menu,84
service,84
messaging,84
apps,83
system,82
home,81
feature,80
motorola,80
back,79
good,78
cliq,77
web,77
memory,76
flash,76
type,73
hero,72
access,72
text,72
multimedia,70
data,69
speakerphone,68
find,68
maps,68
navigation,67
tmobile,67
card,64
performance,64
button,63
headset,63
resolution,63
wifi,63
power,62
full,61
technology,60
experience,60
calls,59
contacts,59
search,58
hours,58
phones,57
view,57
inches,55
standard,55
pre,55
verizon,55
color,54
gsm,54
messages,53
network,53
including,53
capabilities,53
side,52
options,51
number,50
volume,50
pro2,50
calendar,50
sprint,50
addition,49
page,49
end,49
att,49
store,49
tests,48
user,48
3gs,48
rim,48
media,48
bottom,48
size,47
microsd,47
videos,47
nexus,47
palm,47
services,47
usb,46
photos,46
jack,45
general,45
mode,45
make,43
20,42
omnia,42
keys,42
phone's,42
recorder,41
applications,41
devices,41
list,41
operating,41
playback,41
wireless,41
facebook,41
youtube,40
nice,40
adapter,40
work,40
2,40
information,40
sensor,40
clear,40
os,40
dialing,40
long,40
mp3,39
contact,39
easy,39
1900,39
picture,39
buttons,39
controls,38
cell,38
headphones,38
storm,38
sites,38
feel,38
control,37
zoom,37
ii,37
background,37
problems,37
give,37
change,37
aac,37
top,36
microsoft,36
slot,35
download,35
incredible,35
processor,35
photo,35
supports,35
speed,35
megapixels,34
hd2,34
part,34
world,34
additional,34
faster,34
market,34
internal,34
version,33
standby,33
samsung,33
press,33
colors,33
eris,33
loaded,33
included,33
cable,33
software,33
bold,33
internet,33
smartphones,33
sense,32
backflip,32
verizon's,32
conference,32
left,32
hand,32
apple,32
accounts,32
open,31
multiple,31
include,31
stereo,31
legend,31
directions,31
review,31
bad,31
offer,30
updates,30
files,30
makes,30
key,30
tour,30
xt,30
builtin,30
cdma,30
supported,30
couple,30
30,30
message,30
settings,29
ion,29
noise,29
previous,29
add,29
lithium,29
similar,29
yahoo,29
found,29
wide,29
landscape,29
5,29
business,29
edge,28
main,28
pretty,28
